City,Country,Name,Construction started,Projected opening,Lines,Stations,Length by first opening(km)
Abidjan,Ivory Coast,Abidjan Metro,2017,2028,1,18,37.5
Ahvaz,Iran,Ahvaz Metro,2004,2025,1,24,23
Alexandria,Egypt,Alexandria Metro,2020,2026,1,20,217
Astana,Kazakhstan,Astana Metro,1988,2025,1,18,21.5
Baghdad,Iraq,Baghdad Metro,2024,2029,7,64,148
Belgrade,Serbia,Belgrade Metro,2021,2030,2,43,40.5
Bhopal,India,Bhopal Metro,2018,2025,2,29,27.9
Bhubaneswar,India,Bhubaneswar Metro,2024,2028,1,20,26
Bogotá,Colombia,Bogotá Metro,2020,2028,1,16,24
Cluj-Napoca,Romania,Cluj-Napoca Metro,2024,2031,1,19,21
Denpasar,Indonesia,Bali Mass Rapid Transit,2024,2028,2,5,29.5
Gebze,Turkey,Gebze Metro,2018,2025,1,12,15.4
George Town,Malaysia,Mutiara LRT,2025,2031,1,21,29.5
Indore,India,Indore Metro,2018,2025,1,29,33.5
Jeddah,Saudi Arabia,Jeddah Metro,2014,2025,3,46,108
Johor Bahru,Malaysia,Rapid Transit System Link,2020,2026,1,2,4
Konya,Turkey,Konya Metro,2020,2025,1,22,21.1
Meerut,India,Meerut Metro,2019,2025,1,13,23.6
Melbourne,Australia,Metro Tunnel,2017,2025,1,5,9
Melbourne,Australia,Suburban Rail Loop,2022,2035,1,6,26
Mersin,Turkey,Mersin Metro,2022,2026,1,11,13.4
New Taipei,Taiwan,New Taipei Metro,2016,2025,1,12,14.3
Patna,India,Patna Metro,2020,2027,2,26,32.9
Qom,Iran,Qom Urban Railway,2009,2025,1,14,14
Surat,India,Surat Metro,2021,2027,2,38,40.3
Tel Aviv,Israel,Tel Aviv Metro,2025,2032,3,109,150
Ulaanbaatar,Mongolia,Ulaanbaatar Metro,2024,2028,1,14,17.7
